0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,target
13.0,12.0,14.0,17.0,12.0,10.0,15.0,4.0,19.0,13.0,15.0,14.0,25.0,25.0,17.0,13.0,24.0,18.0,30.0,12.0,24.0,10.0,61.0,41.0,53.0,16.0,10.0,25.0,24.0,21.0,15.0,4.0,6.0,44.0,5.0,2.0,11.0,4.0,18.0,18.0,16.0,11.0,33.15,27.75,35.7,101.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28717,0.0,1.18738,1.3388,0.0,1
10.0,14.0,16.0,14.0,68.0,19.0,14.0,27.0,60.0,25.0,21.0,22.0,25.0,71.0,38.0,25.0,25.0,25.0,29.0,24.0,34.0,12.0,37.0,43.0,53.0,52.0,13.0,21.0,24.0,7.0,17.0,6.0,7.0,41.0,12.0,11.0,14.0,7.0,25.0,19.0,20.0,9.0,27.15,42.735,61.2,177.506,0.0,1.77903,0.0,0.0,0.0,1.34069,0.0,2.18915,0.0,0.0,2.10557,2.64232,1.53832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36356,2.17012,0.0,1
21.0,20.0,29.0,15.0,15.0,23.0,27.0,31.0,32.0,39.0,33.0,36.0,35.0,49.0,48.0,16.0,20.0,20.0,18.0,58.0,137.0,10.0,28.0,80.0,103.0,64.0,15.0,29.0,54.0,9.0,17.0,8.0,10.0,55.0,15.0,13.0,26.0,6.0,29.0,22.0,22.0,12.0,35.8,45.51,122.4,163.556,0.0,1.37978,1.94141,2.00425,3.96601,4.29334,0.0,3.56604,1.44113,1.84048,1.5657,1.69513,2.09173,2.12008,2.16685,0.0,1.8985,1.57784,1.60501,1.32903,3.08528,2.05409,2.36785,1.59811,0.0,0.0,1.96269,0.0,0.0,1.28678,2.07168,3.11724,3.16796,1.33514,1
14.0,22.0,19.0,18.0,19.0,6.0,17.0,13.0,26.0,15.0,30.0,11.0,30.0,42.0,49.0,47.0,22.0,18.0,14.0,17.0,27.0,17.0,33.0,21.0,38.0,28.0,11.0,14.0,20.0,31.0,13.0,9.0,10.0,58.0,5.0,10.0,18.0,4.0,20.0,22.0,26.0,12.0,32.5,64.38,121.38,115.94,0.0,0.0,1.57488,1.83236,2.90414,2.43731,0.0,1.99356,0.0,1.30802,1.81842,2.82456,0.0,0.0,0.0,0.0,0.0,1.98572,1.89927,0.0,1.64075,1.29142,1.30994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.51908,6.79381,1.16224,1
21.0,23.0,27.0,20.0,18.0,11.0,10.0,6.0,8.0,10.0,18.0,7.0,13.0,20.0,41.0,21.0,4.0,35.0,14.0,13.0,10.0,7.0,28.0,19.0,20.0,56.0,17.0,21.0,27.0,25.0,18.0,10.0,7.0,45.0,8.0,10.0,11.0,5.0,19.0,25.0,24.0,11.0,42.6,25.53,46.92,75.64,0.0,0.0,0.0,0.0,0.0,0.0,1.54971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30151,0.0,0.0,0.0,1.39201,0.0,0.0,0.0,0.0,0.0,1.1979,0.0,0.0,0.0,1.19955,1
15.0,17.0,16.0,15.0,13.0,9.0,13.0,15.0,27.0,15.0,23.0,22.0,17.0,43.0,27.0,38.0,27.0,20.0,11.0,12.0,10.0,8.0,85.0,33.0,23.0,48.0,6.0,15.0,17.0,23.0,21.0,7.0,7.0,48.0,7.0,7.0,11.0,3.0,19.0,20.0,20.0,12.0,36.05,68.82,45.9,35.34,0.0,0.0,0.0,0.0,1.13064,1.21587,0.0,0.0,0.0,0.0,0.0,0.0,1.29771,1.34157,0.0,0.0,0.0,1.36596,1.39704,0.0,1.23523,0.0,0.0,0.0,0.0,0.0,0.0,1.69223,0.0,1.16533,0.0,1.1505,1.20382,1.25287,1
12.0,17.0,21.0,18.0,22.0,20.0,27.0,9.0,24.0,15.0,26.0,7.0,15.0,26.0,33.0,44.0,14.0,81.0,13.0,14.0,48.0,5.0,113.0,56.0,37.0,89.0,13.0,18.0,37.0,15.0,17.0,9.0,9.0,55.0,10.0,16.0,16.0,4.0,32.0,22.0,24.0,11.0,28.4,42.18,57.12,172.484,1.37544,1.59719,0.0,0.0,0.0,1.10588,0.0,2.42351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35905,1.40052,0.0,1.27016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2415,0.0,0.0,1.17646,0.0,1
12.0,9.0,11.0,19.0,39.0,60.0,33.0,7.0,37.0,40.0,97.0,7.0,13.0,30.0,32.0,17.0,19.0,47.0,12.0,151.0,151.0,12.0,66.0,225.0,531.0,28.0,12.0,114.0,248.0,7.0,20.0,16.0,9.0,50.0,15.0,17.0,20.0,8.0,26.0,22.0,17.0,12.0,20.15,83.361,136.68,180.73,0.0,0.0,2.18248,4.97752,3.45903,2.77294,1.89088,3.9135,1.67612,1.46694,1.76659,4.00348,2.03671,1.87197,1.9323,0.0,1.47314,2.09255,1.9529,1.33165,3.16009,0.0,1.17082,1.30722,0.0,0.0,2.0045,1.8578,0.0,2.02998,0.0,1.59911,1.65991,0.0,1
18.0,16.0,19.0,18.0,58.0,64.0,35.0,10.0,76.0,112.0,181.0,47.0,15.0,35.0,36.0,1.0,46.0,170.0,22.0,165.0,132.0,18.0,54.0,360.0,741.0,28.0,33.0,187.0,556.0,19.0,24.0,15.0,18.0,55.0,23.0,24.0,28.0,7.0,23.0,18.0,16.0,11.0,24.8,92.463,61.2,81.84,1.20564,1.36915,1.95605,1.94246,1.29782,2.10873,1.75224,0.0,0.0,1.28467,0.0,0.0,1.44388,1.59714,0.0,0.0,1.66583,1.4794,1.30955,1.3153,1.6554,1.27287,0.0,1.50198,0.0,0.0,0.0,1.66519,1.43238,1.554,1.83464,1.36574,1.37954,1.28288,1
11.0,13.0,11.0,15.0,16.0,34.0,20.0,6.0,19.0,30.0,50.0,29.0,30.0,30.0,23.0,35.0,17.0,15.0,16.0,102.0,167.0,11.0,20.0,67.0,149.0,0.0,12.0,40.0,124.0,35.0,17.0,8.0,10.0,45.0,10.0,15.0,20.0,4.0,19.0,21.0,18.0,11.0,23.15,73.26,90.78,123.38,0.0,0.0,2.30185,2.31036,1.67868,2.83725,0.0,2.97346,0.0,1.33365,1.94772,2.8198,2.37804,1.92793,2.21107,0.0,0.0,3.05898,2.90336,0.0,1.67883,1.22718,1.18693,0.0,0.0,0.0,0.0,1.81282,0.0,1.30244,0.0,1.6473,1.52361,1.44508,1
13.0,35.0,21.0,16.0,26.0,12.0,19.0,15.0,25.0,26.0,23.0,22.0,18.0,55.0,44.0,17.0,28.0,15.0,18.0,21.0,27.0,14.0,18.0,37.0,78.0,109.0,14.0,23.0,34.0,23.0,17.0,11.0,8.0,39.0,9.0,14.0,17.0,4.0,22.0,30.0,22.0,12.0,37.7,29.97,54.06,84.94,0.0,0.0,0.0,1.18352,1.24398,1.12129,1.8859,0.0,1.48043,1.36764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25994,1.23348,1.2038,1.41342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43097,1.31975,1.26329,1
12.0,13.0,16.0,21.0,22.0,19.0,29.0,12.0,17.0,21.0,32.0,7.0,30.0,30.0,62.0,21.0,14.0,17.0,16.0,27.0,39.0,10.0,40.0,28.0,50.0,76.0,13.0,13.0,32.0,7.0,14.0,10.0,8.0,33.0,8.0,12.0,19.0,4.0,24.0,24.0,23.0,6.0,24.8,104.34,92.616,246.264,0.0,0.0,2.5036,2.29648,3.35983,1.63131,1.63434,4.55519,1.84481,1.49047,1.27437,1.64751,0.0,0.0,0.0,0.0,0.0,2.88305,2.78183,0.0,2.19027,1.29245,1.24314,0.0,0.0,0.0,0.0,2.87846,0.0,1.54692,0.0,2.74087,2.7122,0.0,1
6.0,11.0,13.0,9.0,40.0,29.0,23.0,33.0,21.0,17.0,13.0,29.0,7.0,27.0,160.0,5.0,21.0,34.0,11.0,27.0,34.0,17.0,26.0,21.0,29.0,97.0,12.0,18.0,17.0,7.0,11.0,9.0,5.0,32.0,10.0,6.0,9.0,8.0,13.0,18.0,21.0,12.0,28.6,101.01,99.96,756.648,0.0,3.51776,6.63105,10.0023,3.73908,5.23257,2.30031,5.79595,9.99654,7.22271,2.83649,3.84483,4.29311,3.91208,4.12138,2.31542,2.77966,8.073,8.3766,1.34452,6.04664,1.53689,1.53897,5.50373,3.74229,0.0,1.69724,1.72106,2.23174,3.49357,4.63033,4.97945,4.96438,0.0,1
14.0,21.0,19.0,17.0,16.0,15.0,17.0,10.0,23.0,45.0,72.0,14.0,35.0,16.0,28.0,20.0,32.0,165.0,23.0,45.0,66.0,15.0,16.0,75.0,292.0,48.0,9.0,63.0,230.0,19.0,18.0,9.0,9.0,34.0,6.0,12.0,12.0,2.0,23.0,14.0,16.0,10.0,38.75,71.04,78.54,89.9,0.0,0.0,1.82414,3.05772,3.82617,6.08606,0.0,0.0,1.87819,1.84067,2.13803,1.83238,1.40243,1.33033,1.4706,0.0,0.0,1.44482,1.38891,1.23293,2.47168,1.33258,1.17086,1.46147,0.0,0.0,1.98162,2.35208,0.0,0.0,0.0,2.07977,2.2087,1.48746,1
12.0,13.0,21.0,11.0,9.0,9.0,19.0,8.0,19.0,12.0,24.0,22.0,32.0,20.0,44.0,59.0,29.0,16.0,22.0,8.0,20.0,20.0,18.0,34.0,24.0,44.0,16.0,15.0,24.0,13.0,11.0,5.0,5.0,37.0,7.0,8.0,13.0,4.0,20.0,23.0,17.0,10.0,32.0,24.642,103.02,41.106,0.0,0.0,1.9056,1.19426,1.46738,1.212,0.0,0.0,0.0,0.0,1.27417,0.0,0.0,0.0,0.0,0.0,0.0,1.41614,1.55333,0.0,1.23945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.20786,0.0,1.7239,1.91301,0.0,1
22.0,17.0,17.0,16.0,10.0,23.0,22.0,12.0,13.0,13.0,18.0,26.0,29.0,20.0,31.0,37.0,17.0,25.0,13.0,10.0,24.0,11.0,61.0,34.0,50.0,20.0,18.0,16.0,26.0,9.0,18.0,7.0,6.0,38.0,7.0,10.0,15.0,3.0,22.0,18.0,17.0,11.0,20.7,71.04,54.06,82.46,0.0,0.0,1.731,1.26498,1.51214,1.32708,0.0,0.0,1.77678,1.48506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37098,2.2529,0.0,1.33673,1.23082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3069,0.0,2.51833,2.8031,0.0,1
7.0,10.0,8.0,11.0,73.0,57.0,45.0,76.0,41.0,76.0,36.0,73.0,7.0,23.0,23.0,17.0,30.0,10.0,30.0,83.0,82.0,10.0,28.0,28.0,20.0,44.0,11.0,29.0,48.0,11.0,26.0,16.0,12.0,44.0,14.0,15.0,17.0,13.0,19.0,21.0,17.0,9.0,18.75,120.213,194.208,987.66,0.0,2.584,10.6269,3.23237,4.45107,5.09556,2.08636,7.20477,1.45723,1.88738,1.85461,2.1903,2.04223,1.79016,0.0,0.0,1.82671,3.0719,3.13721,0.0,7.23265,1.24529,1.30134,2.06397,1.66604,0.0,0.0,1.91035,1.36039,1.81201,2.46992,6.56038,6.56173,0.0,1
13.0,13.0,18.0,14.0,41.0,50.0,54.0,20.0,21.0,85.0,91.0,22.0,23.0,25.0,45.0,5.0,9.0,34.0,31.0,175.0,376.0,17.0,59.0,179.0,413.0,60.0,18.0,75.0,146.0,15.0,20.0,10.0,13.0,54.0,16.0,17.0,20.0,8.0,22.0,19.0,21.0,9.0,51.05,147.63,279.48,549.878,0.0,0.0,4.57599,3.88301,6.06488,4.00758,2.17176,6.22256,1.57322,1.51891,1.8324,2.42828,2.12638,1.62244,1.83055,0.0,1.77492,2.34138,2.31098,0.0,3.94774,1.55465,1.42322,0.0,0.0,0.0,0.0,3.14122,1.341,1.67266,1.99474,8.27215,8.99235,1.27769,1
12.0,18.0,25.0,17.0,17.0,30.0,22.0,21.0,30.0,45.0,35.0,19.0,20.0,32.0,16.0,3.0,28.0,33.0,29.0,36.0,107.0,12.0,49.0,63.0,31.0,36.0,6.0,19.0,47.0,11.0,20.0,12.0,10.0,47.0,12.0,17.0,28.0,4.0,22.0,17.0,19.0,13.0,43.7,103.23,117.708,345.34,0.0,1.44444,2.08742,2.25813,1.96795,3.39961,0.0,2.71464,0.0,1.36114,1.43617,1.38051,1.68711,1.62842,1.65132,0.0,0.0,2.00814,1.78446,0.0,3.48801,1.24511,1.21095,0.0,0.0,1.95159,0.0,2.05561,1.33699,1.87298,0.0,1.6486,1.82316,1.25914,1
17.0,17.0,19.0,16.0,13.0,14.0,20.0,22.0,20.0,29.0,22.0,7.0,76.0,67.0,55.0,45.0,21.0,6.0,14.0,19.0,21.0,15.0,40.0,58.0,34.0,28.0,15.0,19.0,35.0,9.0,18.0,12.0,10.0,40.0,7.0,11.0,15.0,4.0,27.0,24.0,26.0,20.0,31.2,34.41,73.134,60.76,0.0,0.0,0.0,0.0,1.32836,1.06744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55522,0.0,1.2732,0.0,1.27987,1.21867,1.38079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13267,0.0,1.20298,1
17.0,23.0,20.0,17.0,24.0,26.0,17.0,5.0,12.0,18.0,23.0,14.0,36.0,33.0,103.0,33.0,7.0,35.0,26.0,7.0,22.0,2.0,9.0,24.0,62.0,52.0,9.0,21.0,30.0,17.0,21.0,10.0,9.0,51.0,6.0,7.0,15.0,3.0,20.0,20.0,28.0,7.0,30.15,75.48,49.98,110.174,1.26673,0.0,0.0,1.37584,2.03866,1.27688,0.0,1.8949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50126,1.57114,0.0,1.45617,1.35986,1.22202,1.51564,0.0,0.0,0.0,1.73402,0.0,0.0,0.0,2.29528,2.32595,0.0,1
18.0,24.0,24.0,21.0,15.0,21.0,22.0,10.0,17.0,20.0,18.0,29.0,23.0,70.0,265.0,35.0,11.0,36.0,15.0,90.0,117.0,8.0,42.0,61.0,42.0,44.0,15.0,30.0,63.0,7.0,23.0,9.0,9.0,45.0,15.0,16.0,22.0,5.0,20.0,22.0,23.0,15.0,35.3,48.84,89.25,610.266,1.31506,1.55991,2.53098,2.50925,1.8477,2.18699,0.0,2.2303,0.0,1.44975,0.0,0.0,1.63307,1.56055,0.0,0.0,1.56491,1.7965,1.66413,0.0,2.36601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57654,2.31388,1.74241,1.80312,0.0,1
